group_id,index,word,pos,detailed_pos,dep,ent_type,sent,results
16,7,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
17,0,The,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
17,1,sharp,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
17,2,knife,7,22,29,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
17,3,cut,15,40,0,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
17,4,through,1,15,39,19,0,"[0, 1.0, 0, 0, 0, 0, 0, 0]"
17,5,the,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
17,6,rope,7,22,35,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
17,7,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18,0,A,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18,1,small,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18,2,bird,7,22,29,19,0,"[0, 1.0, 0, 0, 0, 0, 0, 0]"
18,3,flew,15,38,0,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18,4,across,1,15,39,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18,5,the,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18,6,sky,7,22,35,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18,7,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
19,0,The,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
19,1,tall,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
19,2,building,7,22,29,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
19,3,cast,15,38,0,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
19,4,a,5,11,20,19,0,"[0, 1.0, 0, 0, 0, 0, 0, 0]"
19,5,long,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
19,6,shadow,7,22,21,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
19,7,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
20,0,The,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0]"
20,1,hot,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0]"
20,2,coffee,7,22,29,19,0,"[0, 0, 0, 0, 0, 0, 0]"
20,3,burned,15,38,0,19,0,"[0, 0, 0, 0, 0, 0, 0]"
20,4,my,10,29,36,19,0,"[0, 1.0, 0, 0, 0, 0, 0]"
20,5,hand,7,22,21,19,0,"[0, 0, 0, 0, 0, 0, 0]"
20,6,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0]"
21,0,A,5,11,20,19,0,"[0, 0, 0, 0, 0, 0]"
21,1,cold,0,16,6,19,0,"[0, 0, 0, 0, 0, 0]"
21,2,drink,7,22,29,19,0,"[0, 1.0, 0, 0, 0, 0]"
21,3,refreshed,15,38,0,19,0,"[0, 0, 0, 0, 0, 0]"
21,4,me,10,28,21,19,0,"[0, 0, 0, 0, 0, 0]"
21,5,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0]"
22,0,The,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
22,1,colorful,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
22,2,flowers,7,25,29,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
22,3,bloomed,15,38,0,19,0,"[0, 1.0, 0, 0, 0, 0, 0, 0]"
22,4,in,1,15,39,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
22,5,the,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
22,6,garden,7,22,35,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
22,7,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
23,0,The,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
23,1,quiet,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
23,2,library,7,22,29,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
23,3,was,3,38,0,19,0,"[0, 1.0, 0, 0, 0, 0, 0, 0]"
23,4,full,0,16,2,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
23,5,of,1,15,39,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
23,6,students,7,25,35,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
23,7,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
24,0,The,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,1,loud,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,2,music,7,22,30,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,3,could,3,20,9,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,4,be,3,37,10,19,0,"[0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,5,heard,15,40,0,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,6,from,1,15,39,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,7,the,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,8,street,7,22,35,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,9,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,0,A,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
25,1,tiny,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
25,2,fish,7,22,14,19,0,"[0, 1.0, 0, 0, 0, 0, 0, 0]"
25,3,swam,7,22,0,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
25,4,in,1,15,39,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
25,5,the,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
25,6,pond,7,22,35,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
25,7,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
26,0,The,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,1,delicious,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,2,meal,7,22,30,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,3,was,3,38,10,19,0,"[0, 1.0, 0, 0, 0, 0, 0, 0, 0]"
26,4,served,15,40,0,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,5,at,1,15,39,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,6,the,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,7,table,7,22,35,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,8,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
27,0,The,5,11,20,19,0,"[0, 0, 0, 0, 0, 0]"
27,1,old,0,16,6,19,0,"[0, 0, 0, 0, 0, 0]"
27,2,clock,7,22,29,19,0,"[0, 0, 0, 0, 0, 0]"
27,3,ticked,15,38,0,19,0,"[0, 0, 0, 0, 0, 0]"
27,4,loudly,2,30,4,19,0,"[0, 1.0, 0, 0, 0, 0]"
27,5,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0]"
28,0,A,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
28,1,large,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
28,2,ship,7,22,29,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
28,3,sailed,15,38,0,19,0,"[0, 1.0, 0, 0, 0, 0, 0, 0]"
28,4,across,1,15,39,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
28,5,the,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
28,6,ocean,7,22,35,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
28,7,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
29,0,The,5,11,20,19,0,"[0, 0, 0, 0, 0, 0]"
29,1,soft,0,16,6,19,0,"[0, 0, 0, 0, 0, 0]"
29,2,pillow,7,22,29,19,0,"[0, 1.0, 0, 0, 0, 0]"
29,3,was,3,38,0,19,0,"[0, 0, 0, 0, 0, 0]"
29,4,comfortable,0,16,2,19,0,"[0, 0, 0, 0, 0, 0]"
29,5,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0]"
30,0,A,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
30,1,green,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
30,2,apple,7,22,29,19,0,"[0, 1.0, 0, 0, 0, 0, 0, 0]"
30,3,sat,15,38,0,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
30,4,on,1,15,39,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
30,5,the,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
30,6,counter,7,22,35,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
30,7,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
31,0,The,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
31,1,yellow,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
31,2,balloon,7,22,0,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
31,3,floated,15,40,1,19,0,"[0, 1.0, 0, 0, 0, 0, 0, 0]"
31,4,in,1,15,39,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
31,5,the,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
31,6,air,7,22,35,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
31,7,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
32,0,The,5,11,20,19,0,"[0, 0, 0, 0, 0, 0]"
32,1,wide,0,16,6,19,0,"[0, 0, 0, 0, 0, 0]"
32,2,river,7,22,29,19,0,"[0, 0, 0, 0, 0, 0]"
32,3,flowed,15,38,0,19,0,"[0, 0, 0, 0, 0, 0]"
32,4,gently,2,30,4,19,0,"[0, 1.0, 0, 0, 0, 0]"
32,5,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0]"
33,0,The,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
33,1,strong,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
33,2,athlete,7,22,29,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
33,3,lifted,15,38,0,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
33,4,the,5,11,20,19,0,"[0, 1.0, 0, 0, 0, 0, 0, 0]"
33,5,heavy,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
33,6,weights,7,25,21,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
33,7,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
34,0,A,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0]"
34,1,dark,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0]"
34,2,storm,7,22,29,19,0,"[0, 0, 0, 0, 0, 0, 0]"
34,3,approached,15,38,0,19,0,"[0, 1.0, 0, 0, 0, 0, 0]"
34,4,the,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0]"
34,5,town,7,22,21,19,0,"[0, 0, 0, 0, 0, 0, 0]"
34,6,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0]"
35,0,The,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0]"
35,1,gentle,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0]"
35,2,breeze,7,22,29,19,0,"[0, 0, 0, 0, 0, 0, 0]"
35,3,cooled,15,38,0,19,0,"[0, 0, 0, 0, 0, 0, 0]"
35,4,the,5,11,20,19,0,"[0, 1.0, 0, 0, 0, 0, 0]"
35,5,air,7,22,21,19,0,"[0, 0, 0, 0, 0, 0, 0]"
35,6,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0]"
36,0,The,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0]"
36,1,brave,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0]"
36,2,soldier,7,22,29,19,0,"[0, 0, 0, 0, 0, 0, 0]"
36,3,marched,15,38,0,19,0,"[0, 1.0, 0, 0, 0, 0, 0]"
36,4,into,1,15,39,19,0,"[0, 0, 0, 0, 0, 0, 0]"
36,5,battle,7,22,35,19,0,"[0, 0, 0, 0, 0, 0, 0]"
36,6,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0]"
37,0,A,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
37,1,beautiful,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
37,2,rainbow,7,22,29,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
37,3,appeared,15,38,0,19,0,"[0, 1.0, 0, 0, 0, 0, 0, 0]"
37,4,after,1,15,39,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
37,5,the,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
37,6,rain,7,22,35,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
37,7,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
38,0,The,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
38,1,noisy,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
38,2,children,7,25,29,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
38,3,played,15,38,0,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
38,4,in,1,15,39,19,0,"[0, 1.0, 0, 0, 0, 0, 0, 0]"
38,5,the,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
38,6,yard,7,22,35,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
38,7,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
39,0,A,5,11,20,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,1,soft,0,16,6,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,2,blanket,7,22,29,19,0,"[0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,3,kept,15,38,0,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,4,me,10,28,21,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,5,warm,0,16,32,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,6,during,1,15,39,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,7,the,5,11,20,16,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,8,night,7,22,35,16,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,9,.,12,5,41,19,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
